1000	0.279000
101000	0.178267
201000	0.174378
301000	0.180216
401000	0.182439
501000	0.184629
601000	0.186905
701000	0.189358
801000	0.191387
901000	0.192105
1001000	0.192554
1101000	0.194091
1201000	0.194762
1301000	0.196065
1401000	0.197722
1501000	0.198657
1601000	0.199882
1701000	0.199550
1801000	0.200138
1901000	0.200200
2001000	0.200316
2101000	0.200325
2201000	0.201404
2301000	0.202272
2401000	0.202677
2501000	0.204253
2601000	0.204081
2701000	0.204812
2801000	0.205754
2901000	0.206304
3001000	0.206580
3101000	0.206983
3201000	0.207256
3301000	0.207620
3401000	0.207640
3501000	0.207913
3601000	0.208566
3701000	0.208213
3801000	0.208399
3901000	0.211067
4001000	0.213108
4101000	0.226091
4201000	0.211638
4301000	0.213506
4401000	0.215643
4501000	0.214116
4601000	0.212167
4701000	0.214017
4801000	0.213953
4901000	0.211423
5001000	0.210933
5101000	0.211466
5201000	0.211283
5301000	0.212054
5401000	0.212216
5501000	0.212726
5601000	0.213800
5701000	0.213171
5801000	0.213861
5901000	0.216692
6001000	0.218549
6101000	0.219871
6201000	0.230999
6301000	0.223335
6401000	0.218050
6501000	0.218767
6601000	0.219872
6701000	0.219850
6801000	0.217443
6901000	0.216330
7001000	0.216319
7101000	0.217810
7201000	0.216948
7301000	0.216717
7401000	0.216389
7501000	0.216665
7601000	0.216603
7701000	0.219504
7801000	0.217092
7901000	0.218576
8001000	0.222760
8101000	0.217910
8201000	0.217040
8301000	0.217846
8401000	0.217397
8501000	0.219819
8601000	0.222841
8701000	0.217752
8801000	0.219110
8901000	0.218549
9001000	0.223614
9101000	0.222111
9201000	0.222456
9301000	0.228747
9401000	0.222763
9501000	0.220279
9601000	0.221587
9701000	0.222123
9801000	0.224183
9901000	0.222460
